type,n_C1,n_NT,1년차,1년차_se,2년차,2년차_se,적용 후 전체,적용 후 전체_se,사전(placebo),사전(placebo)_se,1년차_역별 중앙값,1년차_5% 절사 평균,2년차_역별 중앙값,2년차_5% 절사 평균,note
주거·출근형,102,49,-0.009393857368233394,0.010500745182715487,0.0029650987109140336,0.01912508713248731,-0.0048739987555457874,0.015920275962733273,0.009147084231033805,0.009010165564141913,-0.015723916486185596,-0.012252705115967735,-0.013452891644267218,-0.012710565936670507,
상업·여가형,35,2,,,,,,,,,,,,,대조 역 부족 - 추정 안 함
업무형,49,5,,,,,,,,,,,,,대조 역 부족 - 추정 안 함
혼합형,81,20,0.020789766693226353,0.007561778971207258,0.058839874136881534,0.014257693590048007,0.04455749441287936,0.0124816171098841,-0.002283396317375716,0.009880585839578331,0.01731979959556786,0.017981763124830318,0.04778640529346103,0.05005394293404489,
생활·한낮형,16,25,0.03449166829088967,0.022562000339430916,0.05163064629792655,0.02790967269185814,0.05159396231738691,0.02653899905849439,-0.019824112969190157,0.01822690019849794,0.019736161828274704,0.02148386011185843,0.03521463062330413,0.04547180578406485,
A′ 군집 층화(상업·여가형·업무형 제외),199,94,0.006420423835405845,0.006407735698545397,0.029620905599836482,0.011945625959331812,0.019786495333948488,0.0100437489353953,0.002165134082165691,0.0064148497322025,-0.00011155924583976801,0.002287422718915299,0.008531352778434287,0.016754397702190962,
