g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,144,40,89,0.03676801301455988,195,195,102,2025-10-11,C1
55,145,41,90,0.03289379239032816,195,195,102,2025-10-18,C1
55,146,42,91,0.037210653225911786,195,195,102,2025-10-25,C1
55,147,43,92,0.01587435957200043,195,195,102,2025-11-01,C1
55,148,44,93,0.009888043946329163,195,195,102,2025-11-08,C1
55,149,45,94,0.028728242048744263,195,195,102,2025-11-15,C1
55,150,46,95,0.009408781824532761,195,195,102,2025-11-22,C1
55,151,47,96,0.025618215321043095,195,195,102,2025-11-29,C1
55,152,48,97,0.013857030461835746,195,195,102,2025-12-06,C1
55,153,49,98,-0.010030079728588102,195,195,102,2025-12-13,C1
55,154,50,99,0.030945572671235926,195,195,102,2025-12-20,C1
55,155,51,100,0.017113289925086077,195,195,102,2025-12-27,C1
55,156,52,101,0.021685438827524477,195,195,102,2026-01-03,C1
55,157,53,102,0.10467467735767044,195,195,102,2026-01-10,C1
55,158,54,103,0.02854782870271031,195,195,102,2026-01-17,C1
55,159,3,104,0.03336781884654272,195,195,102,2026-01-24,C1
55,160,4,105,0.038635744043864835,195,195,102,2026-01-31,C1
55,161,5,106,0.05381163948772512,195,195,102,2026-02-07,C1
55,163,7,108,0.05078637518545356,195,195,102,2026-02-21,C1
55,164,8,109,0.017560628281513543,195,195,102,2026-02-28,C1
55,165,9,110,0.024139757583301585,195,195,102,2026-03-07,C1
55,166,10,111,0.02793545358449045,195,195,102,2026-03-14,C1
55,167,11,112,0.02316660399093219,195,195,102,2026-03-21,C1
55,168,12,113,0.01726047891511318,195,195,102,2026-03-28,C1
55,169,13,114,0.03948697235727252,195,195,102,2026-04-04,C1
55,170,14,115,0.008148286982496767,195,195,102,2026-04-11,C1
55,171,15,116,0.01997213963089297,195,195,102,2026-04-18,C1
55,172,16,117,0.01536420603100679,195,195,102,2026-04-25,C1
55,173,17,118,-0.008461866590719895,195,195,102,2026-05-02,C1
55,174,18,119,0.022905640919122595,195,195,102,2026-05-09,C1
55,175,19,120,0.03107069819310366,195,195,102,2026-05-16,C1
55,176,20,121,0.021901917344280625,195,195,102,2026-05-23,C1
55,177,21,122,0.03539887917583756,195,195,102,2026-05-30,C1
55,178,22,123,0.025743865943775632,195,195,102,2026-06-06,C1
55,179,23,124,0.021963069072028225,195,195,102,2026-06-13,C1
55,180,24,125,0.023586338121338445,195,195,102,2026-06-20,C1
55,181,25,126,0.015386591638471166,195,195,102,2026-06-27,C1
55,182,26,127,0.028131554648289127,195,195,102,2026-07-04,C1
55,183,27,128,0.011991433597508825,195,195,102,2026-07-11,C1
55,184,28,129,0.03200070384749889,195,195,102,2026-07-18,C1
55,185,29,130,0.0164311232185292,195,195,102,2026-07-25,C1
55,186,30,131,0.031105673463872906,195,195,102,2026-08-01,C1
55,187,31,132,0.06381829916428733,195,195,102,2026-08-08,C1
55,188,32,133,-0.008790985678119465,195,195,102,2026-08-15,C1
55,189,33,134,0.0393217329692296,195,195,102,2026-08-22,C1
55,190,34,135,0.030772313184435192,195,195,102,2026-08-29,C1
55,191,35,136,0.01579663990926421,195,195,102,2026-09-05,C1
55,192,36,137,-0.0077271851909661,195,195,102,2026-09-12,C1
99,0,52,-99,-0.02609473813746877,12,12,102,2023-01-07,C4
99,1,53,-98,-0.03714950819215868,12,12,102,2023-01-14,C4
99,3,55,-96,0.0016810116657031589,12,12,102,2023-01-28,C4
99,6,58,-93,-0.028127352390971173,12,12,102,2023-02-18,C4
99,7,59,-92,-0.037841761437018576,12,12,102,2023-02-25,C4
99,8,60,-91,-0.027857458046851233,12,12,102,2023-03-04,C4
99,9,61,-90,-4.150273919544152e-05,12,12,102,2023-03-11,C4
99,10,62,-89,-0.02866905128765594,12,12,102,2023-03-18,C4
99,11,63,-88,-0.03211287256318231,12,12,102,2023-03-25,C4
99,12,64,-87,-0.026103424122873996,12,12,102,2023-04-01,C4
99,13,65,-86,-0.003930516264886122,12,12,102,2023-04-08,C4
99,14,66,-85,-0.021453903769534956,12,12,102,2023-04-15,C4
99,15,67,-84,-0.03852756975998846,12,12,102,2023-04-22,C4
99,16,68,-83,-0.037617271120992106,12,12,102,2023-04-29,C4
99,17,69,-82,-0.024923448555832804,12,12,102,2023-05-06,C4
99,18,70,-81,-0.012194094101997118,12,12,102,2023-05-13,C4
99,19,71,-80,-0.03967631557644281,12,12,102,2023-05-20,C4
99,20,72,-79,-0.04955022710266759,12,12,102,2023-05-27,C4
99,21,73,-78,-0.03304628076510535,12,12,102,2023-06-03,C4
99,22,74,-77,-0.04172803263721136,12,12,102,2023-06-10,C4
99,23,75,-76,-0.02364812616471769,12,12,102,2023-06-17,C4
99,24,76,-75,-0.03228387984619095,12,12,102,2023-06-24,C4
99,25,77,-74,-0.023777882219937117,12,12,102,2023-07-01,C4
99,26,78,-73,-0.027136418760166058,12,12,102,2023-07-08,C4
99,27,79,-72,-0.015834979250139984,12,12,102,2023-07-15,C4
99,28,80,-71,-0.03272197295927544,12,12,102,2023-07-22,C4
99,29,81,-70,-0.014052965189393335,12,12,102,2023-07-29,C4
99,30,82,-69,0.014131713509390215,12,12,102,2023-08-05,C4
