group,n_L,적용 전(L),적용 후(L),적용 전(끝내 미적용 1차 링),적용 후(끝내 미적용 1차 링),(가) 확대의 차등 효과,(가)_se,(나) 적용 뒤 월 기울기(%p/월),(나)_se,적용 뒤 개월
성남 태평·야탑(C5),2,-0.023817074939114648,-0.02755815872420806,-0.04077625995087876,-0.05633492884609752,0.011817585110125345,0.01278001619483694,-0.001402329299656676,0.0006295689577046321,14
과천 선바위·경마공원(C4),2,-0.062289261656234864,-0.0881360050329876,-0.039868891323867096,-0.05384187455557257,-0.011873760145047263,0.020527491513348654,-0.00046772230581985274,0.0012358455486455348,19
고양 강매·삼송·원흥(C4),3,-0.021164040518348942,-0.025013095607761347,-0.039868891323867096,-0.05384187455557257,0.01012392814229307,0.015476521863420356,-0.0018294504823655375,0.0005458071752623729,19
