g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
108,148,96,40,-0.012534834258230106,1,196,196,103,2024-11-02,C1
108,149,97,41,-0.02445315245425745,1,196,196,103,2024-11-09,C1
108,150,98,42,0.012405819822902793,1,196,196,103,2024-11-16,C1
108,151,99,43,-0.030405590047403386,1,196,196,103,2024-11-23,C1
108,152,100,44,0.022227909859140596,1,196,196,103,2024-11-30,C1
108,153,101,45,0.05300326984031007,1,196,196,103,2024-12-07,C1
108,154,102,46,-0.0021336645165640194,1,196,196,103,2024-12-14,C1
108,155,103,47,0.010296363210936394,1,196,196,103,2024-12-21,C1
108,156,104,48,0.002080846934645827,1,196,196,103,2024-12-28,C1
108,157,105,49,0.027103198128103783,1,196,196,103,2025-01-04,C1
108,158,106,50,0.030781909900487625,1,196,196,103,2025-01-11,C1
108,159,107,51,0.008265617149936486,1,196,196,103,2025-01-18,C1
108,161,57,53,0.04141021070536531,2,196,196,103,2025-02-01,C1
108,162,58,54,0.03788675832680952,2,196,196,103,2025-02-08,C1
108,163,59,55,0.023216636274518553,2,196,196,103,2025-02-15,C1
108,164,60,56,0.04606071864455832,2,196,196,103,2025-02-22,C1
108,165,61,57,0.017839913921373355,2,196,196,103,2025-03-01,C1
108,166,62,58,0.022715716012078495,2,196,196,103,2025-03-08,C1
108,167,63,59,0.035467327584442127,2,196,196,103,2025-03-15,C1
108,168,64,60,0.024872716927814325,2,196,196,103,2025-03-22,C1
108,169,65,61,0.018097721197154613,2,196,196,103,2025-03-29,C1
108,170,66,62,0.04016417518226248,2,196,196,103,2025-04-05,C1
108,171,67,63,0.03517360082069156,2,196,196,103,2025-04-12,C1
108,172,68,64,0.035247261944895414,2,196,196,103,2025-04-19,C1
108,173,69,65,0.03326704284042708,2,196,196,103,2025-04-26,C1
108,174,70,66,-0.01924952684787499,2,196,196,103,2025-05-03,C1
108,175,71,67,0.03277393459901152,2,196,196,103,2025-05-10,C1
108,176,72,68,0.023154155755459017,2,196,196,103,2025-05-17,C1
108,177,73,69,0.03655837539677083,2,196,196,103,2025-05-24,C1
108,178,74,70,0.013342052514186917,2,196,196,103,2025-05-31,C1
