type,새벽(05~06시),오전 첨두(07~08시),낮(09~16시),오후 첨두(17~19시),저녁(20~22시),심야(23~04시),휴일/평일 비,n_C1,n_NT,예시 역(C1)
주거·출근형,0.0814685328362858,0.27168371331598395,0.43889082801251167,0.14316541124969367,0.05694042265307631,0.007851091932448533,0.6094648272090315,102,49,"가양, 가오리, 가좌, 강동구청, 개롱, 개봉"
상업·여가형,0.024516193711388776,0.08496476035289897,0.38596927586906704,0.2792638808338618,0.19567518990989752,0.02961069932288591,0.8356260773425646,35,2,"강남, 건대입구, 경복궁, 고속터미널, 녹사평, 동대문역사문화공원"
업무형,0.017795362128919072,0.06855623741676616,0.3526588749228553,0.39771761098660074,0.14633328710744958,0.01693862743740912,0.45475091010794866,49,5,"가산디지털단지, 강남구청, 공덕, 광화문, 교대, 국회의사당"
혼합형,0.04885385797005026,0.18819163697173946,0.42386331972738234,0.2253500156495514,0.10011609184744225,0.01362507783383431,0.5866485220479718,81,20,"가락시장, 강동, 개포동, 경찰병원, 고덕, 고려대"
생활·한낮형,0.05430720178568074,0.15584264015493507,0.5114645652110175,0.20451119927022918,0.06731694958162321,0.006557443996514313,0.8508078455910818,16,25,"4.19민주묘지, 강변, 구룡, 독립문, 동대문, 동묘앞"
