group,freq,window,n_stations,est,se,n_cells
바깥·성남 태평·야탑 → C5 적용,week,사전(placebo),2,0.03901383939709076,0.005804626799772678,50
바깥·성남 태평·야탑 → C5 적용,week,해소 전(흡수 구간),2,-0.021628226230175275,0.007586026052824869,60
바깥·성남 태평·야탑 → C5 적용,week,해소 후,2,-0.02680797087916464,0.011898998563942682,68
바깥·성남 태평·야탑 → C5 적용,month,사전(placebo),2,0.03534996298405392,0.005421981735595419,11
바깥·성남 태평·야탑 → C5 적용,month,해소 전(흡수 구간),2,-0.02515459049962688,0.00751173106966468,15
바깥·성남 태평·야탑 → C5 적용,month,해소 후,2,-0.02755815872420806,0.011810525961533537,14
바깥·과천 선바위·경마공원 → C4 적용,week,사전(placebo),2,-0.040061767384248166,0.047767979388673096,50
바깥·과천 선바위·경마공원 → C4 적용,week,해소 전(흡수 구간),2,-0.04904538460746372,0.010510220052335735,39
바깥·과천 선바위·경마공원 → C4 적용,week,해소 후,2,-0.09441599395199914,0.023320540341508038,89
바깥·과천 선바위·경마공원 → C4 적용,month,사전(placebo),2,-0.025041166158673626,0.032273558197342164,11
바깥·과천 선바위·경마공원 → C4 적용,month,해소 전(흡수 구간),2,-0.0578734243466108,0.009502977145411361,10
바깥·과천 선바위·경마공원 → C4 적용,month,해소 후,2,-0.0881360050329876,0.01912434286633598,19
바깥·고양 강매·삼송·원흥 → C4 적용,week,사전(placebo),3,0.004424193774114366,0.01376262133810772,50
바깥·고양 강매·삼송·원흥 → C4 적용,week,해소 전(흡수 구간),3,-0.020186845574758618,0.006961996501715018,39
바깥·고양 강매·삼송·원흥 → C4 적용,week,해소 후,3,-0.023442950761785746,0.011048482576293608,89
바깥·고양 강매·삼송·원흥 → C4 적용,month,사전(placebo),3,0.002355728794756514,0.013146807112560558,11
바깥·고양 강매·삼송·원흥 → C4 적용,month,해소 전(흡수 구간),3,-0.022274294163879133,0.006893064159993971,10
바깥·고양 강매·삼송·원흥 → C4 적용,month,해소 후,3,-0.025013095607761347,0.01146757168946607,19
바깥·하남 미사·하남풍산 → C6 적용,week,사전(placebo),2,-0.033648282671939464,0.005784027046672112,50
바깥·하남 미사·하남풍산 → C6 적용,week,해소 전(흡수 구간),2,0.04051136398882156,0.0067799780756571644,74
바깥·하남 미사·하남풍산 → C6 적용,week,해소 후,2,0.05352655748337295,0.010093305583695656,54
바깥·하남 미사·하남풍산 → C6 적용,month,사전(placebo),2,-0.03648894552791407,0.005314207427937935,11
바깥·하남 미사·하남풍산 → C6 적용,month,해소 전(흡수 구간),2,0.03747796105644485,0.007108819907310666,18
바깥·하남 미사·하남풍산 → C6 적용,month,해소 후,2,0.053898664670853795,0.010339422606326054,11
새 경계 안쪽·탄현·정부과천청사 (C4 적용역),week,사전(placebo),2,-0.02837176041204393,0.03322412508561815,88
새 경계 안쪽·탄현·정부과천청사 (C4 적용역),week,노출 후 전체,2,0.03715238323986986,0.05534739510019572,84
새 경계 안쪽·탄현·정부과천청사 (C4 적용역),month,사전(placebo),2,-0.025768317119366953,0.03100091436173697,21
새 경계 안쪽·탄현·정부과천청사 (C4 적용역),month,노출 후 전체,2,0.041608985229243015,0.057692623735152646,20
