group,stations,n,est,se,pre_placebo,pre_se
1차 링·닿음,"회룡,석수,관악,광명,역곡",5.0,-0.04993681508905134,0.02071393380768969,0.0056184076407731565,0.0191869171365433
1차 링·안 닿음,"망월사,소사,검암",3.0,-0.04268628661008279,0.018930585955109932,0.042670116417776585,0.020307383722716905
2차 링·닿음,"의정부,가능,안양,명학,중동",5.0,-0.025493791187963563,0.011368485201097919,0.03618863089127833,0.0073029635041210695
2차 링·안 닿음,"퇴계원,사릉,덕소,도심,부천,청라국제도시",6.0,-0.00965453684804022,0.025958911342099947,0.04528553765079687,0.021472939910232497
1차 링: 닿음 − 안 닿음,,,-0.006319647634689158,0.02578190044626596,,
2차 링: 닿음 − 안 닿음,,,-0.015840772249533983,0.026594115147792103,,
