benchmark,target,est,breakdown_Mbar
1차 링 자체 사전 흐름(2022→23),1년차,-0.035923659247647836,1.0
1차 링 자체 사전 흐름(2022→23),2년차,-0.04903795323341645,0.5
1차 링 자체 사전 흐름(2022→23),3년차,-0.06065615832014071,0.35
1차 링 자체 사전 흐름(2022→23),적용 후 전체,-0.047217866909438126,0.55
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),1년차,-0.035923659247647836,1.05
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),2년차,-0.04903795323341645,0.5
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),3년차,-0.06065615832014071,0.35
1차 링 사전 흐름(거리두기 해제 뒤 2022-05~),적용 후 전체,-0.047217866909438126,0.55
