complex,1년차,2년차,type
가양,-0.004878597025183098,-0.007580686207714756,주거·출근형
가오리,-0.021573885819843115,-0.013152918146237239,주거·출근형
가좌,-0.01784821256343587,-0.017855998694504344,주거·출근형
강동구청,-0.0051941336332714996,0.005997155375819462,주거·출근형
개롱,6.767799280852366e-05,0.0025916290047233153,주거·출근형
개봉,-0.037715346187406414,-0.01379473410939428,주거·출근형
개화,-0.02395744192139419,-0.09409000151478526,주거·출근형
개화산,0.02241106997465565,0.025270874626693456,주거·출근형
거여,-0.016454289571208,-0.021391556152196078,주거·출근형
공항시장,0.013810391953806407,-0.045203604343529956,주거·출근형
광운대,0.0006302006776592151,-0.006649925027885491,주거·출근형
구산,0.025991289070449605,0.02516762026946136,주거·출근형
구의,0.016939476147584353,0.08132423202936022,주거·출근형
구파발,0.002465415735947252,0.00331174138022546,주거·출근형
굽은다리,0.011517947963880898,0.018210045285781077,주거·출근형
금호,-0.017416855752439935,-0.01791303458087926,주거·출근형
길음,-0.013997963888975912,-0.015542883217828632,주거·출근형
까치산,-0.038628857077270616,-0.04438678109275634,주거·출근형
남성,-0.01939485075964458,-0.03703076064598839,주거·출근형
노들,0.024292328077744098,0.05264062435359642,주거·출근형
녹번,-0.04128902006500315,-0.05244343624429671,주거·출근형
녹천,-0.037603154370149446,-0.05532068623071942,주거·출근형
답십리,-0.004328384431816373,-0.006766492135691545,주거·출근형
대림,-0.0062340234062539055,-0.011502293720919156,주거·출근형
대모산입구,0.023353088978937363,0.008509757303912234,주거·출근형
도봉,-0.01169879228205603,-0.02668970229944152,주거·출근형
독바위,-0.0018084765237600193,-0.03049633179756624,주거·출근형
돌곶이,-0.002684609850615798,0.09882452774729023,주거·출근형
둔촌오륜,0.22879519248139096,1.3571344507982015,주거·출근형
등촌,0.026159811477900474,0.06255850629850836,주거·출근형
마들,-0.00987864994475487,0.0046913666298306796,주거·출근형
마천,-0.02174356758242689,-0.0572009543940499,주거·출근형
망우,-0.04241554230514426,-0.04771723974857739,주거·출근형
먹골,-0.024388331536310207,-0.02160300612537076,주거·출근형
면목,-0.036745144913967256,-0.049246003654053155,주거·출근형
명일,-0.04294256154123036,-0.08982596306192142,주거·출근형
목동,-0.017510910553270878,-0.015593513689469376,주거·출근형
무악재,-0.012342188127360047,-0.0535904313775153,주거·출근형
미아,0.004041803970438259,0.027801799531107323,주거·출근형
미아사거리,-0.023996714148407428,-0.044497731610253805,주거·출근형
방학,-0.015667370284246706,-0.01778707459653868,주거·출근형
방화,-0.005270897701821095,2.602176287598741e-05,주거·출근형
봉천,-0.008487188135994217,0.012379352302154367,주거·출근형
봉화산,-0.019514079871153642,-0.05008085628784864,주거·출근형
북한산보국문,-0.020406480322529456,-0.035197202903859005,주거·출근형
불광,-0.0014981220332744303,0.003920554259311408,주거·출근형
사가정,-0.0207355003014822,-0.03115655830101634,주거·출근형
삼양,0.0318913940469642,0.1680743832391005,주거·출근형
삼전,0.06201632359196557,0.10846420031126706,주거·출근형
상계,-0.012819667795489136,-0.00870359434088186,주거·출근형
상봉,0.0030252624220132238,0.006395443612296122,주거·출근형
상월곡,-0.012516941240502373,-0.009931489988508827,주거·출근형
상일동,-0.001544811614648491,-0.007265919389325713,주거·출근형
새절,-0.012917871683909019,-0.03081325498758806,주거·출근형
석계,-0.026356995509018797,-0.04030656569365698,주거·출근형
솔밭공원,-0.011449403968658468,-0.01267529272360176,주거·출근형
솔샘,-0.026718736326806714,-0.021221912826444145,주거·출근형
송정,-0.012894484501618498,-0.02118044730844196,주거·출근형
송파,0.01425408264105122,0.04085205436914167,주거·출근형
수락산,-0.024212238111431496,-0.026159974854719176,주거·출근형
수유,-0.022894045916493123,-0.017595078521666935,주거·출근형
신금호,-0.004382695374235448,-0.02872140140185737,주거·출근형
신답,-0.024364314297070064,-0.013693789782100266,주거·출근형
신대방,-0.0277681014803563,-0.03560378801031886,주거·출근형
신대방삼거리,-0.022719412533893396,-0.012985878233011264,주거·출근형
신림,-0.021707432467446015,-0.008199838018597357,주거·출근형
신목동,0.01915990420745576,0.041909817865529386,주거·출근형
신방화,0.008746981080967518,-0.013211993506434169,주거·출근형
신이문,-0.02033933801440191,-0.04749685876891723,주거·출근형
신정,-0.02721687200505322,-0.01817379761820462,주거·출근형
신정네거리,-0.027561567477495566,-0.025280642214381744,주거·출근형
신풍,-0.016175766108138537,0.02376213939792937,주거·출근형
쌍문,-0.004953856635652838,-0.012364694815055052,주거·출근형
아차산,0.004221445915922734,-0.007270520028213601,주거·출근형
양천구청,-0.02910612904123562,-0.03496250424999229,주거·출근형
역촌,-0.026065008292865663,-0.003781451765026793,주거·출근형
염창,-0.01598926804398487,-0.007767840829162191,주거·출근형
오금,-0.00031517606892340325,-0.0076634230771743805,주거·출근형
오류동,-0.033817131959572255,-0.04534061293040271,주거·출근형
용답,0.0033059125330263247,0.012354770279979626,주거·출근형
용마산,-0.030083817333838362,-0.04572142581574324,주거·출근형
우장산,-0.008284523102703556,0.0005561208755966444,주거·출근형
월계,-0.020778231561577223,-0.04262272052852864,주거·출근형
월곡,-0.02618668495746905,-0.03181679148292793,주거·출근형
응봉,-0.05780581459837993,-0.0710625242631999,주거·출근형
응암,-0.008161368930425836,-0.0016630463851802968,주거·출근형
장승배기,-0.008895325244001016,0.011581781296947495,주거·출근형
중계,-0.022828140952581198,-0.02250779821099135,주거·출근형
중곡,-0.013329950484329568,-0.00796433872656547,주거·출근형
중랑,-0.03618349840507604,-0.033721567173569035,주거·출근형
중앙보훈병원,0.008969193544967271,0.08112140625596514,주거·출근형
중화,-0.027498409451795224,-0.011252196807942053,주거·출근형
증산,-0.0369578832722253,-0.0777060549658626,주거·출근형
창동,0.03051313998305381,0.04112747389771657,주거·출근형
창신,-0.01578046268812449,-0.0010254111711401526,주거·출근형
천왕,-0.016218388242430614,0.0010477890097305707,주거·출근형
하계,-0.018232990279783635,-0.01957856873617488,주거·출근형
행당,-0.022249098063919958,-0.0340984172897989,주거·출근형
홍제,-0.016821725721131508,-0.015610066799545796,주거·출근형
화계,0.004790187963411219,0.02740233666262848,주거·출근형
화곡,-0.029754655727670547,-0.027871351997997878,주거·출근형
화랑대,-0.02043459407434206,-0.05866669936778843,주거·출근형
가락시장,0.02437088109547053,0.05455083159445546,혼합형
강동,0.012797788919188667,0.051765438923178,혼합형
개포동,-0.042282876050715894,-0.062166397585343196,혼합형
경찰병원,0.011806187176920417,0.027059591149737747,혼합형
고덕,0.043633872462336,0.04778640529346103,혼합형
고려대,-0.0009125435303576317,0.028243642046332576,혼합형
공릉,0.011228360225622111,0.04073951114536801,혼합형
광나루,-0.07870982708800675,-0.17693969652753275,혼합형
광흥창,0.019477042141157364,0.061693700232969474,혼합형
구로,-0.011388964150405606,-0.0192538657941457,혼합형
구로디지털단지,-0.01337110542416169,0.008531352778434287,혼합형
구반포,0.2064178870836329,0.5928844618104687,혼합형
구일,0.09575791733584217,0.07195009976301604,혼합형
군자,0.0009894630574844077,0.029044144119836367,혼합형
