param,est,se,lo,hi,n_cells
overall_post,0.011639473346760144,0.01029485526321776,-0.008538442969146668,0.03181738966266696,60
C1_post,0.014021275344565194,0.01064011424047663,-0.006833348566769001,0.03487589925589939,29
C4_post,-0.042919281563753034,0.017998180008677925,-0.07819571438076177,-0.007642848746744299,20
C6_post,-0.005405486610712116,0.013574685866431936,-0.03201187090891871,0.02120089768749448,11
C1_pre_kpass(2024-01-27~04-30),-0.0038671978515658527,0.010076884614233495,-0.0236178916954635,0.015883495992331798,3
C1_2024,0.0005465781424118827,0.008226281539953846,-0.015576933675897655,0.01667008996072142,11
C1_2025,0.023108893834171414,0.012114013048017928,-0.0006345717399437248,0.046852359408286554,11
C1_2026,0.020915256178567765,0.015129355774408486,-0.008738281139272868,0.0505687934964084,7
pre_all(placebo),-0.011086212629304568,0.006756605035779004,-0.024329158499431416,0.002156733240822278,61
C1_pre(placebo),-0.008522895023648506,0.006443828680504483,-0.021152799237437292,0.00410700919014028,11
C4_pre(placebo),-0.01846580750945233,0.015961870338794395,-0.04975107337348934,0.012819458354584687,21
C6_pre(placebo),-0.07382170149714976,0.028267877028488504,-0.1292267404729872,-0.018416662521312292,29
