benchmark,D_annual,target,k_mean,Mbar,est,se,id_lo,id_hi,ci_lo,ci_hi
2022→2023 사전 추세(2022 전체),0.001139099872448862,1년차,1.0,0.0,0.0013426854552103212,0.00946713341133712,0.0013426854552103212,0.0013426854552103212,-0.015930920235576306,0.01938630924886845
2022→2023 사전 추세(2022 전체),0.001139099872448862,1년차,1.0,0.5,0.0013426854552103212,0.00946713341133712,0.0007731355189858902,0.0019122353914347522,-0.01961908164152209,0.025228452992896822
2022→2023 사전 추세(2022 전체),0.001139099872448862,1년차,1.0,1.0,0.0013426854552103212,0.00946713341133712,0.00020358558276145915,0.002481785327659183,-0.02447704080254563,0.030915765229667717
2022→2023 사전 추세(2022 전체),0.001139099872448862,1년차,1.0,1.5,0.0013426854552103212,0.00946713341133712,-0.00036596435346297187,0.0030513352638836143,-0.029738327994214366,0.03773422045478045
2022→2023 사전 추세(2022 전체),0.001139099872448862,1년차,1.0,2.0,0.0013426854552103212,0.00946713341133712,-0.0009355142896874029,0.0036208852001080455,-0.03521729454986167,0.04427421014323763
2022→2023 사전 추세(2022 전체),0.001139099872448862,2년차,2.0,0.0,0.022250099625589725,0.01266411473091278,0.022250099625589725,0.022250099625589725,-0.0018588676764909955,0.04724948485738207
2022→2023 사전 추세(2022 전체),0.001139099872448862,2년차,2.0,0.5,0.022250099625589725,0.01266411473091278,0.021110999753140864,0.023389199498038585,-0.009995441401731548,0.05799345583859948
2022→2023 사전 추세(2022 전체),0.001139099872448862,2년차,2.0,1.0,0.022250099625589725,0.01266411473091278,0.019971899880692,0.02452829937048745,-0.01849728145934246,0.07069726709396869
2022→2023 사전 추세(2022 전체),0.001139099872448862,2년차,2.0,1.5,0.022250099625589725,0.01266411473091278,0.01883280000824314,0.02566739924293631,-0.030328887894449916,0.08385264294861496
2022→2023 사전 추세(2022 전체),0.001139099872448862,2년차,2.0,2.0,0.022250099625589725,0.01266411473091278,0.01769370013579428,0.02680649911538517,-0.044156878573008235,0.09966153476153844
2022→2023 사전 추세(2022 전체),0.001139099872448862,3년차,3.0,0.0,0.021840739445036495,0.01575625240058519,0.021840739445036495,0.021840739445036495,-0.008234680810178828,0.05394720367601554
2022→2023 사전 추세(2022 전체),0.001139099872448862,3년차,3.0,0.5,0.021840739445036495,0.01575625240058519,0.0201320896363632,0.02354938925370979,-0.02156252993889987,0.07083880233009901
2022→2023 사전 추세(2022 전체),0.001139099872448862,3년차,3.0,1.0,0.021840739445036495,0.01575625240058519,0.01842343982768991,0.02525803906238308,-0.036210873629679355,0.08948046506251708
2022→2023 사전 추세(2022 전체),0.001139099872448862,3년차,3.0,1.5,0.021840739445036495,0.01575625240058519,0.016714790019016615,0.026966688871056375,-0.053687202517382016,0.10968575574494753
2022→2023 사전 추세(2022 전체),0.001139099872448862,3년차,3.0,2.0,0.021840739445036495,0.01575625240058519,0.015006140210343324,0.028675338679729667,-0.07343870153719423,0.13199463699768735
2022→2023 사전 추세(2022 전체),0.001139099872448862,적용 후 전체,1.890625,0.0,0.014467620313354659,0.01158084141785755,0.014467620313354659,0.014467620313354659,-0.007968894315517937,0.037855439102996644
2022→2023 사전 추세(2022 전체),0.001139099872448862,적용 후 전체,1.890625,0.5,0.014467620313354659,0.01158084141785755,0.013390814965180345,0.015544425661528973,-0.015567395703070855,0.04785332823038168
2022→2023 사전 추세(2022 전체),0.001139099872448862,적용 후 전체,1.890625,1.0,0.014467620313354659,0.01158084141785755,0.012314009617006029,0.016621231009703287,-0.024208655218764377,0.059984443621307344
2022→2023 사전 추세(2022 전체),0.001139099872448862,적용 후 전체,1.890625,1.5,0.014467620313354659,0.01158084141785755,0.011237204268831714,0.017698036357877603,-0.035822294972836455,0.07234532615124228
2022→2023 사전 추세(2022 전체),0.001139099872448862,적용 후 전체,1.890625,2.0,0.014467620313354659,0.01158084141785755,0.010160398920657399,0.01877484170605192,-0.04802726453738837,0.08565367247474476
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,1년차,1.0,0.0,0.0013426854552103212,0.00946713341133712,0.0013426854552103212,0.0013426854552103212,-0.015930920235576306,0.01938630924886845
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,1년차,1.0,0.5,0.0013426854552103212,0.00946713341133712,-0.0022153209906381147,0.0049006919010587575,-0.01770831444595744,0.028821481871590532
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,1년차,1.0,1.0,0.0013426854552103212,0.00946713341133712,-0.005773327436486551,0.008458698346907193,-0.02128235728072372,0.03822342102180752
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,1년차,1.0,1.5,0.0013426854552103212,0.00946713341133712,-0.009331333882334987,0.012016704792755628,-0.028612489029743515,0.048290546308770506
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,1년차,1.0,2.0,0.0013426854552103212,0.00946713341133712,-0.012889340328183424,0.015574711238604065,-0.03708985841482256,0.05799465930755241
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,2년차,2.0,0.0,0.022250099625589725,0.01266411473091278,0.022250099625589725,0.022250099625589725,-0.0018588676764909955,0.04724948485738207
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,2년차,2.0,0.5,0.022250099625589725,0.01266411473091278,0.015134086733892852,0.029366112517286595,-0.008246363961387842,0.06448793432573263
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,2년차,2.0,1.0,0.022250099625589725,0.01266411473091278,0.00801807384219598,0.03648212540898347,-0.019347507453850523,0.08349356256560202
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,2년차,2.0,1.5,0.022250099625589725,0.01266411473091278,0.0009020609504991096,0.043598138300680336,-0.03515684991080346,0.10417110514143539
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,2년차,2.0,2.0,0.022250099625589725,0.01266411473091278,-0.006213951941197764,0.05071415119237721,-0.05342987175803178,0.12398755668045794
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,3년차,3.0,0.0,0.021840739445036495,0.01575625240058519,0.021840739445036495,0.021840739445036495,-0.008234680810178828,0.05394720367601554
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,3년차,3.0,0.5,0.021840739445036495,0.01575625240058519,0.011166720107491188,0.0325147587825818,-0.017501385601994424,0.08002536600182703
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,3년차,3.0,1.0,0.021840739445036495,0.01575625240058519,0.00049270076994588,0.043188778120127114,-0.03519394449873355,0.10903779841284847
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,3년차,3.0,1.5,0.021840739445036495,0.01575625240058519,-0.010181318567599431,0.05386279745767242,-0.06100012635620355,0.138751919393431
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,3년차,3.0,2.0,0.021840739445036495,0.01575625240058519,-0.020855337905144735,0.06453681679521772,-0.08829095770994624,0.16976294106355114
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,적용 후 전체,1.890625,0.0,0.014467620313354659,0.01158084141785755,0.014467620313354659,0.014467620313354659,-0.007968894315517937,0.037855439102996644
2022→2023 사전 추세(거리두기 해제 뒤 2022-05~),0.007116012891696872,적용 후 전체,1.890625,0.5,0.014467620313354659,0.01158084141785755,0.0077407643766724595,0.021194476250036856,-0.01356442606059639,0.05377606401993316
