param,est,se,lo,hi,n_cells
overall_post,0.029564336264461442,0.009059736099227023,0.011807253509976478,0.0473214190189464,74
C1_post,0.032055569787712665,0.009373663153735735,0.013683190006390625,0.05042794956903471,29
C4_post,-0.03833661533369413,0.015123074671232566,-0.06797784168930995,-0.008695388978078304,20
C5_post,0.020079322341811406,0.014748200957242157,-0.00882715153438322,0.04898579621800603,14
C6_post,-0.005405486610712116,0.013236741705259921,-0.03134950035302156,0.02053852713159733,11
C1_pre_kpass(2024-01-27~04-30),0.012519100086693347,0.009408589682362837,-0.005921735690737813,0.03095993586412451,3
C1_2024,0.012384949888695984,0.007454010276210338,-0.0022249102526762776,0.026994810030068248,11
C1_2025,0.04437683129397792,0.010437762334308749,0.02391881711873277,0.06483484546922307,11
C1_2026,0.043604561547750664,0.012843581613400204,0.018431141585486265,0.06877798151001506,7
pre_all(placebo),-0.026317392220376445,0.008857571362860125,-0.043678232091582295,-0.008956552349170598,87
C1_pre(placebo),-0.025672781366205134,0.008921459432912601,-0.04315884185471383,-0.008186720877696438,11
C4_pre(placebo),-0.019577064722159063,0.013897980616204656,-0.04681710672992019,0.007662977285602061,21
C5_pre(placebo),-0.03580262249313303,0.027104205191833264,-0.08892686466912622,0.017321619682860168,26
C6_pre(placebo),-0.07382170149714976,0.029585540464044487,-0.13180936080667693,-0.015834042187622563,29
