param,est,se,lo,hi,n_cells
overall_post,0.024638714625342877,0.008358120914157241,0.008256797633594683,0.041020631617091075,330
C1_post,0.027128192302734735,0.008576576817398755,0.010318101740633176,0.043938282864836295,128
C4_post,-0.04219539043057608,0.016856242497775724,-0.0752336257262165,-0.00915715513493566,84
C5_post,-0.005476267705841814,0.016103656018805194,-0.037039433502699996,0.026086898091016365,66
C6_post,0.008831140867735314,0.006875594093026312,-0.004645023554596258,0.022307305290066887,52
C1_pre_kpass(2024-01-27~04-30),0.015434824303505207,0.007098504965241173,0.0015217545716325089,0.029347894035377905,12
C1_2024,0.011396570632365996,0.005952882879374667,-0.00027107981120835095,0.023064221075940344,44
C1_2025,0.0331470036332851,0.0094491887563064,0.014626593670924556,0.05166741359564564,48
C1_2026,0.038330648125784926,0.01254618476201212,0.01374012599224117,0.06292117025932868,36
pre_all(placebo),-0.014704225068503154,0.0063114190784424465,-0.02707460646225035,-0.00233384367475596,179
C1_pre(placebo),-0.01001186137089338,0.006607839261827791,-0.022963226324075853,0.0029395035822890898,2
C4_pre(placebo),-0.022749820917668924,0.00902056330246641,-0.04043012499050309,-0.005069516844834761,41
C5_pre(placebo),0.0071484891904840045,0.009889763848919896,-0.012235447953398992,0.026532426334367,61
C6_pre(placebo),-0.04605611629795024,0.02169479316735219,-0.08857791090596054,-0.0035343216899399454,75
