group,window,n,est,se
1차 링(닿는 역),적용 후 전체,5,0.01893352382664133,0.10617590995429468
1차 링(닿는 역),2024,5,-0.021113737055731815,0.10780070787856626
1차 링(닿는 역),2025,5,0.05898078470901447,0.12118639733189795
2차 링(닿는 역),적용 후 전체,5,-0.16694509938641114,0.03240272674287267
2차 링(닿는 역),2024,5,-0.1954220092754918,0.06469988053563779
2차 링(닿는 역),2025,5,-0.1384681894973305,0.010783037798001499
서울 쪽 경계역,적용 후 전체,9,-0.018656906648250853,0.020299005966527364
서울 쪽 경계역,2024,9,-0.013886459068206637,0.01712831884396193
서울 쪽 경계역,2025,9,-0.023427354228295068,0.024370641546705228
