bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,month,group
-24,-24,0.03705957802756327,0.020040426896839325,1,-0.0022196586902418075,0.07633881474536834,-0.014622530562136547,0.08874168661726309,2022-02,1차 링
-23,-23,-0.001215589883138024,0.02601015125405534,1,-0.05219548634108649,0.049764306574810444,-0.06829297643115687,0.06586179666488082,2022-03,1차 링
-22,-22,0.019033527175518636,0.01804798009884884,1,-0.016340513818225093,0.054407568169262364,-0.02751027511446935,0.06557732946550662,2022-04,1차 링
-21,-21,0.017286273559837282,0.015119517597870374,1,-0.012347980931988651,0.04692052805166322,-0.02170533846217278,0.05627788558184735,2022-05,1차 링
-20,-20,0.024171359227453067,0.0129294382873452,1,-0.0011703398157435242,0.049513058270649654,-0.009172273471099147,0.05751499192600528,2022-06,1차 링
-19,-19,0.007989793061170513,0.015465030383229453,1,-0.022321666489959216,0.03830125261230024,-0.031892859325597135,0.047872445447938165,2022-07,1차 링
-18,-18,0.017108052069559128,0.015318001563386292,1,-0.012915230994678003,0.04713133513379626,-0.022395428781987976,0.05661153292110623,2022-08,1차 링
-17,-17,0.011850786469369549,0.015584675812897712,1,-0.018695178123909965,0.04239675106264906,-0.028340418630382048,0.05204199156912115,2022-09,1차 링
-16,-16,0.014626030872481197,0.016171220189334215,1,-0.017069560698613866,0.04632162244357626,-0.02707780917819802,0.05632987092316041,2022-10,1차 링
-15,-15,0.011379934962247547,0.018030551281475474,1,-0.023959945549444382,0.046719815473939476,-0.0351189202796203,0.05787879020411539,2022-11,1차 링
-14,-14,0.018473912043876096,0.01558981053393185,1,-0.012082116602630328,0.04902994069038252,-0.021730534949944435,0.05867835903769662,2022-12,1차 링
0,0,-0.044820485759259864,0.016169145484945663,1,-0.07651201090975336,-0.013128960608766366,-0.08651897537014792,-0.003121996148371803,2024-02,1차 링
1,1,-0.029780796320264105,0.015744990729809564,1,-0.06064097815069085,0.00107938551016264,-0.0703854363726261,0.010823843732097896,2024-03,1차 링
2,2,-0.03701142978860702,0.014066567412445715,1,-0.06458190191700061,-0.009440957660213418,-0.07328759637111676,-0.0007352632060972711,2024-04,1차 링
3,3,-0.04288279393930646,0.013790794547074742,1,-0.06991275125157295,-0.015852836627039967,-0.07844777192051734,-0.00731781595809558,2024-05,1차 링
4,4,-0.04171140943189179,0.012800175508679875,1,-0.06679975342890435,-0.016623065434879236,-0.0747216873073169,-0.008701131556466686,2024-06,1차 링
5,5,-0.04041624807342812,0.011183009947242046,1,-0.06233494757002253,-0.01849754857683371,-0.06925602965234298,-0.01157646649451326,2024-07,1차 링
6,6,-0.05100899870313515,0.01184356360951724,1,-0.07422238337778894,-0.027795614028481356,-0.08155227723242758,-0.020465720173842714,2024-08,1차 링
7,7,-0.03941638589755501,0.016441716321159334,1,-0.0716421498870273,-0.007190621908082714,-0.08181780642044884,0.00298503462533882,2024-09,1차 링
8,8,-0.03177147400135638,0.012777609223597509,1,-0.0568155880796075,-0.006727359923105265,-0.06472355585121295,0.00118060784850018,2024-10,1차 링
9,9,-0.043655859761991336,0.014369792046680518,1,-0.07182065217348516,-0.01549106735049752,-0.0807140101093313,-0.006597709414651376,2024-11,1차 링
10,10,-0.020067291750243903,0.011224742488650637,1,-0.042067787027999154,0.001933203527511345,-0.04901469707130285,0.008880113570815047,2024-12,1차 링
12,12,-0.04464266442838304,0.019877895685789116,1,-0.08360333997252971,-0.0056819888842363775,-0.09590562248092355,0.006620293624157454,2025-02,1차 링
13,13,-0.04906660935512623,0.02051715072199026,1,-0.08928022477022715,-0.008852993940025318,-0.10197813748890938,0.0038449187786569264,2025-03,1차 링
14,14,-0.05461519210175421,0.02052929234824465,1,-0.09485260510431373,-0.014377779099194694,-0.10755803218561533,-0.0016723520178930917,2025-04,1차 링
15,15,-0.0659148550750063,0.019590979941302347,1,-0.10431317575995891,-0.0275165343900537,-0.1164378882377732,-0.015391821912239409,2025-05,1차 링
16,16,-0.05824242341959664,0.019906412335200654,1,-0.09725899159658992,-0.019225855242603354,-0.10957892284823097,-0.006905923990962307,2025-06,1차 링
17,17,-0.05659220034410639,0.01833783738618792,1,-0.09253436162103472,-0.020650039067178064,-0.10388351344695719,-0.009300887241255593,2025-07,1차 링
18,18,-0.06374518116970379,0.02000747222397559,1,-0.10295982672869594,-0.024530535610711633,-0.11534230319747811,-0.012148059141929471,2025-08,1차 링
19,19,-0.03222429642363009,0.022050994204543033,1,-0.07544424506453443,0.010995652217274256,-0.08909144216141739,0.02464284931415721,2025-09,1차 링
20,20,-0.06081957479523319,0.01974686404013937,1,-0.09952342831390636,-0.02211572127656003,-0.11174461630667319,-0.009894533283793194,2025-10,1차 링
21,21,-0.04132850841478918,0.01929285154923975,1,-0.07914249745129909,-0.0035145193782792697,-0.09108270047394257,0.008425683644364204,2025-11,1차 링
22,22,-0.029935782368782332,0.01953342357475924,1,-0.06822129257531044,0.008349727837745777,-0.08031038384389,0.020438819106325327,2025-12,1차 링
24,24,-0.06946517468558924,0.024109505710718192,1,-0.1167198058785969,-0.022210543492581586,-0.1316410005100303,-0.0072893488611481955,2026-02,1차 링
25,25,-0.058356290813307225,0.02374933117726814,1,-0.10490497992075278,-0.011807601705861676,-0.11960326519936171,0.0028906835727472505,2026-03,1차 링
26,26,-0.06637975269433705,0.0229433461623222,1,-0.11134871117248857,-0.02141079421618553,-0.12554817829106027,-0.007211327097613823,2026-04,1차 링
27,27,-0.07849106636858441,0.022570552824504108,1,-0.12272934990461246,-0.03425278283255636,-0.1366980979857378,-0.02028403475143105,2026-05,1차 링
28,28,-0.05655225671098882,0.02209417167394822,1,-0.09985683319192733,-0.01324768023005031,-0.11353075250503561,0.0004262390830579721,2026-06,1차 링
29,29,-0.056965349372617685,0.020858158878791517,1,-0.09784734077504906,-0.016083357970186313,-0.11075630091791287,-0.0031743978273224976,2026-07,1차 링
30,30,-0.05959114626409928,0.025214710996677533,1,-0.10901197981758726,-0.010170312710611314,-0.12461717782002948,0.005434885291830921,2026-08,1차 링
-24,-24,0.07525084028473222,0.032225498908553,1,0.012088862423968338,0.1384128181454961,-0.008557556454309626,0.15905923702377406,2022-02,2차 링
-23,-23,0.05981683022911577,0.02313963138998434,1,0.014463152704746463,0.10517050775348508,-0.00036208006270546655,0.119995740520937,2022-03,2차 링
-22,-22,0.04588141292663402,0.009293169281862993,1,0.027666801134182555,0.06409602471908549,0.021712799731611113,0.07005002612165694,2022-04,2차 링
-21,-21,0.03447478615075403,0.008266370322217262,1,0.018272700319208194,0.050676871982299865,0.01297655440817731,0.05597301789333074,2022-05,2차 링
-20,-20,0.03594433600067171,0.008238987185234406,1,0.01979592111761228,0.05209275088373115,0.014517319193036147,0.05737135280830728,2022-06,2차 링
-19,-19,0.024994643105835594,0.00992910587623303,1,0.005533595588418858,0.04445569062325233,-0.0008278413466372217,0.05081712755830841,2022-07,2차 링
-18,-18,0.02771234058389266,0.00906106688575952,1,0.009952649487804,0.04547203167998132,0.004147352789733886,0.051277328378051434,2022-08,2차 링
-17,-17,0.025264453476011566,0.010720813763852087,1,0.004251658498861478,0.046277248453161654,-0.0026170144210711996,0.05314592137309433,2022-09,2차 링
-16,-16,0.020913528498964058,0.009273013401251086,1,0.0027384222325119306,0.039088634765416186,-0.0032026655839842467,0.04502972258191236,2022-10,2차 링
-15,-15,0.023668877489127056,0.010648738548471042,1,0.002797349934123814,0.0445404050441303,-0.004025145420281578,0.051362900398535694,2022-11,2차 링
-14,-14,0.026844911082018176,0.011480641424647345,1,0.00434285388970938,0.04934696827432697,-0.003012629807136274,0.05670245197117263,2022-12,2차 링
0,0,-0.03899360228286874,0.013739491109942003,1,-0.06592300485835506,-0.01206419970738241,-0.07472570142591539,-0.0032615031398220765,2024-02,2차 링
1,1,-0.029321051681531728,0.013118764231386883,1,-0.055033829575050014,-0.003608273788013438,-0.06343883525875399,0.004796731895690527,2024-03,2차 링
2,2,-0.021896768258131034,0.012264670137672693,1,-0.04593552172796951,0.0021419852117074423,-0.053793321471733595,0.009999784955471526,2024-04,2차 링
3,3,-0.024891230872739645,0.01275074257608502,1,-0.049882686321866286,0.00010022457638699661,-0.05805190576458136,0.008269444019102068,2024-05,2차 링
