group,outcome,window,est,se
1차 링,승차,사전(placebo),0.019512798432149446,0.01617038423997082
1차 링,승차,노출 후 전체,-0.047217866909438126,0.01576366636742143
2차 링,승차,사전(placebo),0.041150580032833894,0.012897324285801875
2차 링,승차,노출 후 전체,-0.016854197911641743,0.016048110473016262
1차 링,하차,사전(placebo),0.016563913428535887,0.01554003302045813
1차 링,하차,노출 후 전체,-0.04848981378277237,0.014803503838210256
2차 링,하차,사전(placebo),0.03960271598147731,0.012843373466630885
2차 링,하차,노출 후 전체,-0.018476644122335448,0.016656566219566918
