base,base_boardings_day,effect,effect_value,extra_boardings_day,car_share,co2_t_low,co2_t_central,co2_t_high,"vs_seoul_claim(연 21,600t)"
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 점추정,0.0013426854552103,3509.437826706113,서울시 설문 4%,61.33988794602676,127.96820860705553,152.8944979155919,0.005924454102178497
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 점추정,0.0013426854552103,3509.437826706113,25%,383.3742996626673,799.8013037940971,955.5906119724493,0.037027838138615606
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 점추정,0.0013426854552103,3509.437826706113,100%(극단),1533.4971986506691,3199.2052151763883,3822.3624478897973,0.14811135255446242
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 95% 상한,0.019898266941431,52009.002122702084,서울시 설문 4%,909.0419947360898,1896.4572566112247,2265.858709941863,0.08779894706533448
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 95% 상한,0.019898266941431,52009.002122702084,25%,5681.512467100562,11852.857853820155,14161.61693713664,0.5487434191583405
A′ 서울 비도심 역(추정 대상),2613745.3214285714,1년차 95% 상한,0.019898266941431,52009.002122702084,100%(극단),22726.04986840225,47411.43141528062,56646.46774854656,2.194973676633362
서울 전 역으로 외삽(가정),4827241.802197802,1년차 점추정,0.0013426854552103,6481.467356594144,서울시 설문 4%,113.28665758198329,236.34035071279166,282.3759092415307,0.010941682903369984
서울 전 역으로 외삽(가정),4827241.802197802,1년차 점추정,0.0013426854552103,6481.467356594144,25%,708.0416098873956,1477.127191954948,1764.8494327595672,0.06838551814606242
서울 전 역으로 외삽(가정),4827241.802197802,1년차 점추정,0.0013426854552103,6481.467356594144,100%(극단),2832.1664395495823,5908.508767819792,7059.397731038269,0.2735420725842497
서울 전 역으로 외삽(가정),4827241.802197802,1년차 95% 상한,0.019898266941431,96053.74597096632,서울시 설문 4%,1678.8802952480955,3502.5056458796416,4184.741257241981,0.16215303916109453
서울 전 역으로 외삽(가정),4827241.802197802,1년차 95% 상한,0.019898266941431,96053.74597096632,25%,10493.001845300598,21890.660286747756,26154.63285776238,1.0134564947568405
서울 전 역으로 외삽(가정),4827241.802197802,1년차 95% 상한,0.019898266941431,96053.74597096632,100%(극단),41972.00738120239,87562.64114699102,104618.53143104952,4.053825979027362
