family,param,work,work_se,rest,rest_se,diff(b−a),diff_se,peak,peak_se,offpeak,offpeak_se
주_평일/휴일,C1 1년차,0.005700793161580847,0.006641598296383299,0.0007752481778976819,0.011929940204988746,-0.004925544983683165,0.007004340021226189,,,,
주_평일/휴일,C1 2년차,0.02441610034391971,0.011158337180911406,0.02750504123523062,0.01336474854660992,0.0030889408913109123,0.006411874024302766,,,,
주_평일/휴일,C1 적용 후 전체,0.01669023477034453,0.009588641511793854,0.019562537077949572,0.012649556859830163,0.0028723023076050423,0.0064656855301944045,,,,
주_평일/휴일,C1 사전(placebo),0.0013148127051143409,0.008281768025048285,0.005461288294011586,0.00840933320504599,0.004146475588897245,0.004671490058345258,,,,
주_평일/휴일,C5 적용 후,-0.005084149900941463,0.01675435103029232,0.0007405726032267601,0.01600691326755013,0.005824722504168224,0.008869118963631227,,,,
주_평일/휴일,C5 사전(placebo),0.008105943389380123,0.009624195746823463,0.00031116661755829214,0.015966434594469323,-0.00779477677182183,0.01312026347234556,,,,
월_피크/비피크,C1 1년차,,,,,-0.007453007337443559,0.0038473871338671147,0.005208797344807059,0.008176881243140078,-0.0022442099926365004,0.008529947715837663
월_피크/비피크,C1 2년차,,,,,-0.007578483810559308,0.00544692712134893,0.02776792410455973,0.013511249742269148,0.02018944029400042,0.010922714730470934
월_피크/비피크,C1 적용 후 전체,,,,,-0.006915843195331324,0.004523016304851671,0.0182437203857556,0.011238627136827337,0.011327877190424275,0.009909551896538981
월_피크/비피크,C1 사전(placebo),,,,,-0.00566384866445311,0.0038769150242359872,-0.004374834943207003,0.007602309314958777,-0.010038683607660113,0.006308513176553612
월_피크/비피크,C5 적용 후,,,,,0.012147851082961304,0.009923482823972304,-0.010211327325945672,0.014308135604582162,0.0019365237570156315,0.016109784267131305
월_피크/비피크,C5 사전(placebo),,,,,0.0029794112906008953,0.013003151661318827,0.0021289801916127733,0.0135271890011774,0.005108391482213669,0.020869369910217143
