g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,0,52,-55,-0.025682185137364345,283,283,111,2023-01-07,C1
55,1,53,-54,-0.016501353109983557,283,283,111,2023-01-14,C1
55,55,3,0,-0.0007617448391591987,283,283,111,2024-01-27,C1
55,58,6,3,0.02626543436077978,283,283,111,2024-02-17,C1
55,59,7,4,0.02190796844282975,283,283,111,2024-02-24,C1
55,60,8,5,0.02062691519283443,283,283,111,2024-03-02,C1
55,61,9,6,0.020138787243624764,283,283,111,2024-03-09,C1
55,62,10,7,0.03585655619157475,283,283,111,2024-03-16,C1
55,63,11,8,0.049644155810930686,283,283,111,2024-03-23,C1
55,64,12,9,0.018629917368425012,283,283,111,2024-03-30,C1
55,65,13,10,0.00036254383742928727,283,283,111,2024-04-06,C1
55,66,14,11,0.013665587914347906,283,283,111,2024-04-13,C1
55,67,15,12,0.030664944642011308,283,283,111,2024-04-20,C1
55,68,16,13,0.025901456195772547,283,283,111,2024-04-27,C1
55,69,17,14,0.008761516746710125,283,283,111,2024-05-04,C1
55,70,18,15,0.004599204651286668,283,283,111,2024-05-11,C1
55,71,19,16,0.01253535952980646,283,283,111,2024-05-18,C1
55,72,20,17,0.027881664605396483,283,283,111,2024-05-25,C1
55,73,21,18,0.021112904394841495,283,283,111,2024-06-01,C1
55,74,22,19,0.018908502007439175,283,283,111,2024-06-08,C1
55,75,23,20,0.007337878887787758,283,283,111,2024-06-15,C1
55,76,24,21,0.010340173528457806,283,283,111,2024-06-22,C1
55,77,25,22,0.01665405896758966,283,283,111,2024-06-29,C1
55,78,26,23,0.00686854737786224,283,283,111,2024-07-06,C1
55,79,27,24,0.02917099379960598,283,283,111,2024-07-13,C1
55,80,28,25,0.011102527292304164,283,283,111,2024-07-20,C1
55,81,29,26,0.0032314889919608366,283,283,111,2024-07-27,C1
55,82,30,27,0.0021795210473868143,283,283,111,2024-08-03,C1
55,83,31,28,0.027519580836984817,283,283,111,2024-08-10,C1
55,84,32,29,0.00247874059201531,283,283,111,2024-08-17,C1
55,85,33,30,0.011885702721742237,283,283,111,2024-08-24,C1
55,86,34,31,0.018437943543089617,283,283,111,2024-08-31,C1
55,87,35,32,0.0142965422766181,283,283,111,2024-09-07,C1
55,91,39,36,0.00043864240791667564,283,283,111,2024-10-05,C1
55,92,40,37,0.010586831614861122,283,283,111,2024-10-12,C1
55,93,41,38,0.013045857274469636,283,283,111,2024-10-19,C1
55,94,42,39,0.011104638884822058,283,283,111,2024-10-26,C1
55,95,43,40,-0.007444299115357875,283,283,111,2024-11-02,C1
55,96,44,41,-0.018530358864683263,283,283,111,2024-11-09,C1
55,97,45,42,0.02055481329699085,283,283,111,2024-11-16,C1
55,98,46,43,-0.028668396184435535,283,283,111,2024-11-23,C1
55,99,47,44,0.032928704268613086,283,283,111,2024-11-30,C1
55,100,48,45,0.060043765867734994,283,283,111,2024-12-07,C1
