bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
-44,-44,-0.17362134967436746,0.042216747587293525,1,-0.25636617494546277,-0.09087652440327215,-0.2856608129436128,-0.061581886405122105
-43,-43,-0.1690536174094464,0.051526754111995504,1,-0.2700460554689576,-0.06806117934993522,-0.3058010033319928,-0.03230623148690001
-42,-42,-0.1666729111626824,0.0432478550456911,1,-0.2514387070522369,-0.08190711527312786,-0.2814488411853863,-0.051896981139978496
-41,-41,-0.1420370678789424,0.050335257770030055,1,-0.24069417310820132,-0.043379962649683496,-0.2756223293302693,-0.008451806427615505
-40,-40,-0.1301827277545022,0.04535761591797805,1,-0.2190836549537392,-0.04128180055526523,-0.2505577739873954,-0.009807681521609005
-39,-39,-0.1035160647583957,0.03840668794717865,1,-0.17879317313486587,-0.028238956381925542,-0.20544397132328784,-0.0015881581935035388
-38,-38,-0.09577963795118216,0.045095283862092855,1,-0.18416639432088416,-0.0073928815814801735,-0.21545847842642146,0.02389920252405714
-36,-36,-0.10223168647865943,0.03094256822616588,1,-0.16287912020194456,-0.04158425275537431,-0.1843504884792918,-0.020112884478027074
-35,-35,-0.028963270550464507,0.01883901011613451,2,-0.06588773037808815,0.007961189277159136,-0.07896031443858441,0.021033773337655395
-34,-34,-0.018770905923722388,0.023283926786316578,2,-0.06440740242490288,0.026865590577458104,-0.08056436015761725,0.043022548310172486
-33,-33,-0.017755321837447012,0.021805434799646962,2,-0.06049397404475506,0.024983330369861036,-0.07562499088888976,0.04011434721399573
-32,-32,-0.023597281280851215,0.01865182737607086,2,-0.0601548629379501,0.012960300376247673,-0.07309755895820053,0.025902996396498103
-31,-31,-0.031211115378658935,0.01873137941409763,2,-0.06792461903029029,0.005502388272972419,-0.08092251703291017,0.018500286275592297
-30,-30,-0.02405777927212227,0.018113128096301615,2,-0.05955951034087344,0.011443951796628896,-0.07212839735657955,0.02401283881233502
-29,-29,-0.03830993218731006,0.018528969792113232,2,-0.07462671297985199,-0.0019931513947681265,-0.08748415685129764,0.010864292476677515
-28,-28,-0.013467187261084985,0.017353420171724636,2,-0.04747989079766527,0.0205455162754953,-0.059521608623258164,0.03258723410108819
-27,-27,-0.025464971523039066,0.01690122585050884,2,-0.05859137419003639,0.007661431143958258,-0.07031930969695481,0.019389366650876677
-26,-26,-0.037380507190010674,0.017647616438072618,2,-0.071969835408633,-0.002791178971388343,-0.08421569906770704,0.009454684687685698
-24,-24,0.010491513167351741,0.008755253303770508,3,-0.006668783308038453,0.027651809642741935,-0.012744144172485074,0.033727170507188556
-23,-23,0.0028904569943591293,0.00881446860405699,3,-0.014385901469592573,0.02016681545831083,-0.02050235244365167,0.026283266432369928
-22,-22,-0.003114315393605859,0.007623127345353891,3,-0.018055644990499484,0.011827014203287767,-0.023345411937471854,0.017116781150260135
-21,-21,-0.01664638200310927,0.007152960696651344,3,-0.030666184968545906,-0.0026265790376726363,-0.03562969841282803,0.002336934406609488
-20,-20,-0.01529814559101216,0.0069733230216766934,3,-0.02896585871349848,-0.0016304324685258408,-0.033804719716274294,0.0032084285342499717
-19,-19,-0.02100077459102677,0.00757380042705254,3,-0.03584542342804975,-0.00615612575400379,-0.041100961915991385,-0.0009005872660621528
-18,-18,-0.01028891515077015,0.007026138008271771,3,-0.02406014564698282,0.00348231534544252,-0.02893565551547196,0.008357825213931658
-17,-17,-0.0253031888118029,0.006654641481675842,3,-0.03834628611588755,-0.01226009150771825,-0.04296401070042759,-0.007642366923178212
-16,-16,-0.00765201879870893,0.006608654551796139,3,-0.020604981720229364,0.005300944122811503,-0.025190795498265736,0.009886757900847878
-15,-15,-0.016378186241760757,0.006817851437357447,3,-0.029741175058981353,-0.0030151974245401607,-0.03447215272062072,0.0017157802370992084
-14,-14,0.002123057258863684,0.007895618028724075,3,-0.013352354077435503,0.017598468595162873,-0.01883120512925731,0.02307731964698468
0,0,-0.02149911555931313,0.012819051685561878,3,-0.046624456863014405,0.0036262257443881486,-0.055519729475657316,0.012521498357031056
1,1,0.004402243319538947,0.009638118418704628,3,-0.014488468781122123,0.023292955420200018,-0.02117645888446763,0.029980945523545525
2,2,0.003468994834897767,0.007937657553267053,3,-0.012088813969505657,0.01902680363930119,-0.017596836682421305,0.02453482635221684
3,3,0.005576877258133424,0.00829360703639181,3,-0.01067859253319452,0.02183234704946137,-0.01643361227571808,0.02758736679198493
4,4,-0.0013675746418091825,0.008185866292650288,3,-0.017411872575403744,0.01467672329178538,-0.023092129900973393,0.02035698061735503
5,5,0.012756381485615115,0.008278312818140808,3,-0.003469111637940867,0.028981874609171097,-0.009213518564159685,0.03472628153538991
6,6,-0.006606849425525936,0.008035514517170914,3,-0.022356457879180926,0.009142759028129055,-0.027932384551946497,0.014718685700894626
7,7,-0.016263474807523475,0.0077497720349758315,3,-0.031453027996076105,-0.0010739216189708453,-0.03683067500366166,0.004303725388614708
8,8,0.003892159154417672,0.00717733073538259,3,-0.010175409086932204,0.01795972739576755,-0.015155833153264416,0.02294015146209976
9,9,-0.016246727142044833,0.006829710462433469,3,-0.029632959648414434,-0.0028604946356752346,-0.034372166410267996,0.0018787121261783259
10,10,0.015630321110913746,0.007715882233575755,3,0.0005071919331052655,0.03075345028872223,-0.004846938590606403,0.0361075808124339
12,12,0.020396530682260702,0.013250504263635823,2,-0.005574457674465509,0.046367519038986914,-0.014769119695586884,0.05556218106010829
13,13,0.013132537572897226,0.011825091102039956,2,-0.010044640987101085,0.036309716132895534,-0.018250194065606583,0.04451526921140103
14,14,0.025700100679993478,0.011418574682123284,2,0.0033196943030318407,0.048080507056955116,-0.004603772825173037,0.056003974185159996
15,15,0.01499829234846414,0.011462406986163805,2,-0.007468025344416918,0.0374646100413452,-0.015421908161960176,0.04541849285888845
16,16,0.011449748213974494,0.010810923903996413,2,-0.009739662637858474,0.03263915906580746,-0.0172414746033175,0.04014097103126649
17,17,0.025908706408093472,0.011469946660649826,2,0.003427610953219813,0.04838980186296713,-0.004531503722467779,0.056348916538654724
18,18,0.01176495353970777,0.011865601452971603,2,-0.011491625308116572,0.03502153238753211,-0.01972528893832354,0.043255196017739084
19,19,0.02661405585023065,0.01147562314189113,2,0.004121834492124037,0.04910627720833727,-0.0038412191526355673,0.05706933085309687
20,20,0.016063379427181203,0.012008454775778863,2,-0.007473191933345367,0.03959995078770777,-0.0158059829624553,0.047932741816817705
21,21,0.011981153301514448,0.012096874016038628,1,-0.011728719769921262,0.03569102637295016,-0.0201228658247855,0.044085172427814394
22,22,0.019734846406735364,0.012340618898998611,1,-0.004452766635301912,0.04392245944877264,-0.013016049786657286,0.05248574260012802
24,24,0.008136248695269742,0.016274583331161562,1,-0.023761934633806915,0.0400344320243464,-0.035055036412225314,0.0513275338027648
25,25,0.021437565997264582,0.014963405542667991,1,-0.007890708866364681,0.05076584086089385,-0.01827397080963919,0.061149102804168354
26,26,0.02028774810885143,0.014856304315170193,1,-0.008830608348882149,0.04940610456658501,-0.019139551642141803,0.05971504785984466
27,27,0.0135089277284329,0.014484971659378293,1,-0.014881616723948552,0.04189947218081435,-0.024932888444905717,0.05195074390177152
28,28,0.02664582512264778,0.01408915932411368,1,-0.0009689271526150366,0.0542605773979106,-0.010745540598374584,0.06403719084367014
29,29,0.02985419819400125,0.014229965834801066,1,0.001963465157791163,0.057744931230211335,-0.007910855382761518,0.06761925177076403
30,30,0.018655682313697578,0.014231976020802941,1,-0.009238990687076187,0.04655035531447134,-0.019114706116496422,0.05642607074389158
