ring1_base_boardings_day,effect,effect_se,lost_boardings_day,car_share_of_lost,co2_increase_t_low,co2_increase_t_central,co2_increase_t_high
80601.12912087912,-0.0472178669094381,0.0157636663674214,3805.813387580106,0%(다른 대중교통),0.0,0.0,0.0
80601.12912087912,-0.0472178669094381,0.0157636663674214,3805.813387580106,25%,415.7506455897985,867.3453298474689,1036.2912020880676
80601.12912087912,-0.0472178669094381,0.0157636663674214,3805.813387580106,50%,831.501291179597,1734.6906596949377,2072.5824041761352
80601.12912087912,-0.0472178669094381,0.0157636663674214,3805.813387580106,100%(극단),1663.002582359194,3469.3813193898754,4145.1648083522705
