station,event,사전(placebo),노출 후 전체,① 출시~본사업 전,② 본사업(청년할인·관광권)~후불카드 전,③ 후불카드·고양과천 확대~검단연장 전,④ 인천1호선 검단연장 뒤,placebo_rank_p,loo_est,loo_se
망월사,,0.014160819178887394,-0.0023065879574094656,-0.03571603795579293,-0.016639643544815494,-0.007711498647151538,0.01629900971828856,0.6039603960396039,-0.05363376390258509,0.015898940990735962
회룡,의정부경전철 환승역(기존),0.0038349599454120323,0.013521375699781464,0.011625777047367138,0.00231532417036313,0.016011923386184693,0.01634288597185708,0.7128712871287128,-0.05589490156789808,0.014644137265822945
석수,,0.05518442748970518,-0.10608686740933176,-0.06381009290196887,-0.068886541773669,-0.10851163361572908,-0.13087186584451557,0.039603960396039604,-0.03880800969516762,0.014776004313502678
관악,,0.004067419207278997,-0.07436549530476368,-0.05300318522687329,-0.053939656810138466,-0.07621844586694755,-0.0870744626086907,0.0594059405940594,-0.04333963428153447,0.016695047637327824
광명,,-0.06735733789497189,-0.018012703103869706,0.015633882731275917,-0.005274483380978513,0.0007504339594973548,-0.042679323643665446,0.4158415841584158,-0.051390033167376475,0.01624079891845711
역곡,,0.032362569456441476,-0.06474038532707303,-0.0583724317968289,-0.04717319261223374,-0.06072361995035049,-0.07418076347585949,0.0891089108910891,-0.044714649992633144,0.017619262651875623
소사,서해선 환승 개통 2023-07-01(사전기간),0.09108136773534387,-0.05754545866407796,-0.08706104934215758,-0.0704753319146442,-0.07735636932428058,-0.03376076646581562,0.12871287128712872,-0.0457424966587753,0.01755737085057081
계양,"인천1호선 검단연장 개통 2025-06-28(계양 환승, 경향신문 2025-06-18)",-0.129466865266136,-0.1416232029353273,0.03301459677033783,0.015635161212992,0.02758011132172631,-0.3317055439677151,0.009900990099009901,-0.047217866909438126,0.015692345069330385
검암,"인천2호선 환승역(기존), 검단 신도시 인접 — 연장선 영향 가능",0.022768162339098483,-0.06820681320876093,-0.02428462644913556,-0.06799973268611097,-0.046393419788535624,-0.0941848428845337,0.07920792079207921,-0.044219446009534875,0.016700210776068786
