g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
55,85,54,30,-0.046497709969267755,283,283,111,2024-08-24,C1
55,86,54,31,-0.04595318339082165,283,283,111,2024-08-31,C1
55,87,54,32,-0.03998061195846765,283,283,111,2024-09-07,C1
55,89,54,34,-0.04230175806389784,283,283,111,2024-09-21,C1
55,90,54,35,-0.09930419267618759,283,283,111,2024-09-28,C1
55,91,54,36,-0.07742379345374656,283,283,111,2024-10-05,C1
55,92,54,37,-0.06169521410479606,283,283,111,2024-10-12,C1
55,93,54,38,-0.06335283278150224,283,283,111,2024-10-19,C1
55,94,54,39,-0.06896835481842867,283,283,111,2024-10-26,C1
55,95,54,40,-0.0539813907070483,283,283,111,2024-11-02,C1
55,96,54,41,-0.06423893676255547,283,283,111,2024-11-09,C1
55,97,54,42,-0.03024308424926242,283,283,111,2024-11-16,C1
55,98,54,43,-0.05333270992743243,283,283,111,2024-11-23,C1
55,99,54,44,-0.013897376969306346,283,283,111,2024-11-30,C1
55,100,54,45,0.024693130560741933,283,283,111,2024-12-07,C1
55,101,54,46,0.003639930765932012,283,283,111,2024-12-14,C1
55,102,54,47,-0.02188427017494699,283,283,111,2024-12-21,C1
55,103,54,48,-0.03092480761322807,283,283,111,2024-12-28,C1
55,104,54,49,0.029354807870656523,283,283,111,2025-01-04,C1
55,105,54,50,0.02394040849255113,283,283,111,2025-01-11,C1
55,106,54,51,0.008411764178070491,283,283,111,2025-01-18,C1
55,108,54,53,0.03077073587535825,283,283,111,2025-02-01,C1
55,109,54,54,0.013054379531986723,283,283,111,2025-02-08,C1
55,110,54,55,0.0036141462490445753,283,283,111,2025-02-15,C1
55,111,54,56,-0.0034602268788724855,283,283,111,2025-02-22,C1
55,112,54,57,-0.042218974351078326,283,283,111,2025-03-01,C1
55,113,54,58,-0.03155393053059233,283,283,111,2025-03-08,C1
55,114,54,59,-0.02012725266897869,283,283,111,2025-03-15,C1
55,115,54,60,-0.02941802649863326,283,283,111,2025-03-22,C1
55,116,54,61,-0.02681820243513347,283,283,111,2025-03-29,C1
